Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
Metaforms,AI,Bengaluru,$9 Mn,Series A,Peak XV Partners,9000000.0
STAN,Media & Entertainment,Chennai,$8.5 Mn,Series A,-,8500000.0
Arivihan,Edtech,Indore,$4.2 Mn,Pre-Series A,"Prosus, Accel",4200000.0
Sharpsell.ai,Enterprise Tech,Mumbai,$3.4 Mn,Series A,Equentis Angel Fund,3400000.0
Drizz,AI,Bengaluru,$2.7 Mn,Seed,Stellaris Venture Partners,2700000.0
Littlebox,Ecommerce,Noida,$2.1 Mn,Seed,"Huddle Ventures, Prath Ventures",2100000.0
Snooplay,Ecommerce,New Delhi,$916K,Pre-Series A,Pravek Family Office,916000.0
Zepto,Consumer Services,Bengaluru,$857K,–,Elcid Investments,857000.0
Heizen,Enterprise Services,New Delhi,$500K,Pre-Seed,Titan Capital,500000.0
Passport Trips,Travel Tech,Mumbai,$500K,Pre-Seed,Aroa Venture Partners,500000.0
ILine,Logistics,Noida,$500K,–,-,500000.0
Genexis Biotech,Health Tech,Vadodara,$457K,Seed,GVFL,457000.0
Vahan.ai,AI,Bengaluru,–,–,Temasek,
Vahan.ai,AI,Bengaluru,–,–,Temasek,
Gupshup,Enterprise Tech,Mumbai,$60 Mn,–,-,60000000.0
Netrasemi,Advanced Hardware & Technology,Thiruvananthapuram,$12.4 Mn,Series A,Zoho Corporation,12400000.0
